Cell 21,Cell 26,Cell 34,Cell 39,Cell 42
1.62499,1.52394,1.55528,1.50842,1.57873
1.625,1.52394,1.55528,1.50842,1.57874
1.62466,1.49579,1.5459,1.47089,1.55074
1.62847,1.48311,1.50575,1.41806,1.51332
1.58764,1.38954,1.56987,1.38861,1.45917
1.62881,1.41961,1.41054,1.25935,1.4131
1.58923,1.32775,1.47852,1.23548,1.35667
1.58528,1.29622,1.46447,1.1899,1.31283
1.57958,1.26398,1.45788,1.15106,1.2777
1.57616,1.22544,1.44122,1.09587,1.23457
1.57632,1.17073,1.41561,1.01554,1.17789
1.57887,1.10111,1.38722,0.917534,1.11211
1.58534,1.04687,1.36042,0.836494,1.06062
1.58791,1.00282,1.34692,0.77895,1.0244
1.5989,0.943011,1.30681,0.679025,0.967938
1.61028,0.837855,1.25952,0.526574,0.875803
1.61351,0.785774,1.24905,0.464024,0.828484
1.61575,0.785546,1.24905,0.463796,0.8305
1.6236,0.785511,1.24905,0.463761,0.838314
1.63348,0.785505,1.24905,0.463755,0.848189
1.64114,0.785515,1.24905,0.463764,0.85586
1.64855,0.785544,1.24905,0.463793,0.863302
1.65366,0.785681,1.24905,0.463931,0.868546
1.65528,0.865645,1.27045,0.565295,0.946851
1.63809,1.00441,1.37493,0.80855,1.11072
1.65613,1.11886,1.39646,0.944521,1.20596
1.64969,1.13574,1.42296,0.987903,1.23494
1.64384,1.16979,1.44462,1.04362,1.28185
1.63787,1.20673,1.4754,1.11134,1.32394
1.63419,1.23101,1.49471,1.15492,1.34567
1.62997,1.25486,1.50933,1.19339,1.36525
1.64306,1.30446,1.47742,1.21108,1.38098
1.62971,1.30838,1.50631,1.24389,1.39265
1.62064,1.31435,1.52225,1.2658,1.4
1.61846,1.32446,1.51429,1.26795,1.40017
1.61254,1.32963,1.51046,1.2693,1.39545
1.60291,1.3308,1.50442,1.26442,1.38243
1.59143,1.32671,1.49797,1.25388,1.36328
1.58299,1.32003,1.49706,1.24629,1.34889
1.57135,1.31611,1.50362,1.24894,1.33907
1.55726,1.31678,1.50954,1.25552,1.32997
1.54935,1.33917,1.49033,1.2587,1.32042
1.49975,1.30298,1.5671,1.29929,1.30189
1.50472,1.36212,1.49874,1.29007,1.29798
1.45879,1.33061,1.56801,1.32783,1.27921
1.45716,1.37042,1.52528,1.32491,1.27804
1.43832,1.3825,1.53176,1.34346,1.27198
1.42413,1.39781,1.52834,1.35536,1.26542
1.40926,1.40904,1.53043,1.36867,1.25891
1.39718,1.42003,1.52957,1.3788,1.25291
1.38907,1.42716,1.52846,1.38482,1.24815
1.38536,1.43083,1.52813,1.38817,1.24595
1.38372,1.43326,1.52901,1.39147,1.24593
1.38353,1.43637,1.52996,1.39553,1.24789
1.38458,1.44115,1.53274,1.40309,1.25311
1.3875,1.45108,1.53815,1.41843,1.26438
1.39425,1.46535,1.53984,1.43439,1.28069
1.40532,1.47868,1.54544,1.45332,1.30426
1.43479,1.50295,1.49393,1.42609,1.36647
1.44641,1.51592,1.55236,1.49748,1.39119
1.47093,1.54036,1.57095,1.54051,1.42109
1.49385,1.54855,1.56334,1.54109,1.47145
1.51754,1.5677,1.56711,1.56401,1.49243
1.52596,1.55757,1.56638,1.55315,1.51268
1.53315,1.55361,1.56355,1.54636,1.5154
1.50916,1.49817,1.64467,1.57204,1.50276
1.53583,1.53534,1.58,1.54454,1.50753
1.54248,1.54094,1.56084,1.53098,1.51263
1.54379,1.53971,1.56034,1.52926,1.51233
1.54084,1.53578,1.56501,1.52999,1.51495
1.53977,1.54612,1.56256,1.53789,1.51508
1.53107,1.55071,1.57451,1.55442,1.517
1.54561,1.59322,1.48454,1.50696,1.55285
1.50001,1.59011,1.61444,1.63375,1.5192
1.49216,1.62529,1.58928,1.64377,1.54783
1.47417,1.6574,1.60056,1.68716,1.56364
1.44678,1.67201,1.64,1.74121,1.57735
1.44617,1.72316,1.61276,1.76513,1.59696
